dataset,fold,n_test,threshold_from_train,precision,recall,f1
D1,1,10100,0.9186617912477041,0.4928571428571429,0.5359223300970873,0.5134883720930232
D1,2,10100,0.9252338091185593,0.4839357429718876,0.50418410041841,0.49385245901639346
D1,3,10100,0.9285696045541998,0.5271493212669683,0.4688128772635815,0.49627263045793396
D1,4,10100,0.9221606753812959,0.5173076923076924,0.5163147792706334,0.5168107588856868
D1,5,10100,0.9202980225033955,0.4790528233151184,0.5400410677618069,0.5077220077220077
D2,1,40400,0.6712722375273174,0.25015216068167984,0.6165,0.35589551161783806
D2,2,40400,0.6710171555492448,0.2524890481879729,0.6295928500496525,0.3604320636725412
D2,3,40400,0.6710171555492448,0.24749498997995992,0.6202913108990457,0.3538175046554935
D2,4,40400,0.6710171555492448,0.25248832013000205,0.6316056910569106,0.3607604121317661
D2,5,40400,0.6779877869542206,0.25665360016505057,0.613714849531327,0.3619435554262438
D3,1,6000,0.9539365177780074,0.6375661375661376,0.7980132450331126,0.7088235294117647
D3,2,6000,0.9539365177780074,0.6506666666666666,0.7896440129449838,0.7134502923976608
D3,3,6000,0.9540511502150019,0.6675977653631285,0.7785016286644951,0.718796992481203
D3,4,6000,0.9539365177780074,0.6686567164179105,0.7671232876712328,0.7145135566188198
D3,5,6000,0.9539365177780074,0.6744868035190615,0.7931034482758621,0.7290015847860539
