query_id,data_risk,sql_risk,outcome,wrong_no_gate,wrong_joint
pg_d2_easy_1,high,medium,review,True,False
pg_d2_easy_2,high,medium,review,True,False
pg_d2_medium_1,high,medium,review,True,False
pg_d3_medium_1,high,high,block,True,False
pg_d3_easy_1,high,medium,review,True,False
pg_d3_hard_1,high,high,block,True,False
my_d2_easy_1,high,medium,review,True,False
my_d2_easy_2,high,medium,review,True,False
my_d3_easy_1,high,medium,review,True,False
my_d2_medium_1,high,medium,review,True,False
my_d3_medium_1,high,medium,review,True,False
my_d3_hard_1,high,medium,review,True,False
ss_d2_easy_1,high,medium,review,True,False
ss_d2_easy_2,high,medium,review,True,False
ss_d3_easy_1,high,medium,review,True,False
ss_d2_medium_1,high,medium,review,True,False
ss_d3_medium_1,high,medium,review,True,False
ss_d3_hard_1,high,high,block,True,False
ora_d2_easy_1,high,medium,review,True,False
ora_d3_easy_1,high,medium,review,True,False
ora_d2_medium_1,high,medium,review,True,False
ora_d3_medium_1,high,medium,review,True,False
ora_d2_hard_1,high,medium,review,True,False
sf_d2_easy_1,high,medium,review,True,False
sf_d3_easy_1,high,medium,review,True,False
sf_d2_medium_1,high,medium,review,True,False
sf_d3_medium_1,high,medium,review,True,False
sf_d2_hard_1,high,medium,review,True,False
sf_d3_hard_1,high,high,block,True,False
pg_d2_hard_1,high,medium,review,True,False
my_d2_hard_1,high,medium,review,True,False
ss_d2_hard_1,high,medium,review,True,False
my_d2_medium_2,high,medium,review,True,False
my_d3_medium_2,high,medium,review,True,False
