dataset,detector,f1_oracle,contamination,note
D1,rule,0.4697,0.0495,paper_baseline
D1,stat,0.1581,0.0495,paper_baseline
D1,iforest,0.4272,0.0495,paper_baseline
D1,lof,0.1463,0.0495,paper_baseline
D1,hybrid,0.3685,0.0495,paper_baseline
D1,hybrid_lr,0.5115,0.0495,paper_baseline
D1,ecod,0.4165,0.0495,ok
D1,deep_svdd,0.432,0.0495,ok
D2,rule,0.3412,0.0495,paper_baseline
D2,stat,0.1336,0.0495,paper_baseline
D2,iforest,0.3613,0.0495,paper_baseline
D2,lof,0.104,0.0495,paper_baseline
D2,hybrid,0.3664,0.0495,paper_baseline
D2,hybrid_lr,0.359,0.0495,paper_baseline
D2,ecod,0.2432,0.0495,ok
D2,deep_svdd,0.3914,0.0495,ok
D3,rule,0.7003,0.05,paper_baseline
D3,stat,0.1848,0.05,paper_baseline
D3,iforest,0.6138,0.05,paper_baseline
D3,lof,0.0998,0.05,paper_baseline
D3,hybrid,0.6976,0.05,paper_baseline
D3,hybrid_lr,0.7172,0.05,paper_baseline
D3,ecod,0.5307,0.05,ok
D3,deep_svdd,0.7392,0.05,ok
