condition,label,stratum,threshold,pct_exceeding,n_queries
C1_dirty_src,dirty+source,all,0.001,65.7,35
C1_dirty_src,dirty+source,all,0.01,57.1,35
C1_dirty_src,dirty+source,all,0.05,42.9,35
C1_dirty_src,dirty+source,targeted,0.001,90.0,20
C1_dirty_src,dirty+source,targeted,0.01,75.0,20
C1_dirty_src,dirty+source,targeted,0.05,60.0,20
C1_dirty_src,dirty+source,control,0.001,33.3,15
C1_dirty_src,dirty+source,control,0.01,33.3,15
C1_dirty_src,dirty+source,control,0.05,20.0,15
C2_dirty_trans,dirty+trans,all,0.001,65.7,35
C2_dirty_trans,dirty+trans,all,0.01,57.1,35
C2_dirty_trans,dirty+trans,all,0.05,42.9,35
C2_dirty_trans,dirty+trans,targeted,0.001,90.0,20
C2_dirty_trans,dirty+trans,targeted,0.01,75.0,20
C2_dirty_trans,dirty+trans,targeted,0.05,60.0,20
C2_dirty_trans,dirty+trans,control,0.001,33.3,15
C2_dirty_trans,dirty+trans,control,0.01,33.3,15
C2_dirty_trans,dirty+trans,control,0.05,20.0,15
C3_clean_src,cleansed+source,all,0.001,91.4,35
C3_clean_src,cleansed+source,all,0.01,82.9,35
C3_clean_src,cleansed+source,all,0.05,68.6,35
C3_clean_src,cleansed+source,targeted,0.001,90.0,20
C3_clean_src,cleansed+source,targeted,0.01,80.0,20
C3_clean_src,cleansed+source,targeted,0.05,70.0,20
C3_clean_src,cleansed+source,control,0.001,93.3,15
C3_clean_src,cleansed+source,control,0.01,86.7,15
C3_clean_src,cleansed+source,control,0.05,66.7,15
C4_clean_trans,cleansed+trans,all,0.001,91.4,35
C4_clean_trans,cleansed+trans,all,0.01,82.9,35
C4_clean_trans,cleansed+trans,all,0.05,68.6,35
C4_clean_trans,cleansed+trans,targeted,0.001,90.0,20
C4_clean_trans,cleansed+trans,targeted,0.01,80.0,20
C4_clean_trans,cleansed+trans,targeted,0.05,70.0,20
C4_clean_trans,cleansed+trans,control,0.001,93.3,15
C4_clean_trans,cleansed+trans,control,0.01,86.7,15
C4_clean_trans,cleansed+trans,control,0.05,66.7,15
C5_repaired_src,repaired+source,all,0.001,48.6,35
C5_repaired_src,repaired+source,all,0.01,31.4,35
C5_repaired_src,repaired+source,all,0.05,22.9,35
C5_repaired_src,repaired+source,targeted,0.001,60.0,20
C5_repaired_src,repaired+source,targeted,0.01,40.0,20
C5_repaired_src,repaired+source,targeted,0.05,25.0,20
C5_repaired_src,repaired+source,control,0.001,33.3,15
C5_repaired_src,repaired+source,control,0.01,20.0,15
C5_repaired_src,repaired+source,control,0.05,20.0,15
C6_repaired_trans,repaired+trans,all,0.001,48.6,35
C6_repaired_trans,repaired+trans,all,0.01,31.4,35
C6_repaired_trans,repaired+trans,all,0.05,22.9,35
C6_repaired_trans,repaired+trans,targeted,0.001,60.0,20
C6_repaired_trans,repaired+trans,targeted,0.01,40.0,20
C6_repaired_trans,repaired+trans,targeted,0.05,25.0,20
C6_repaired_trans,repaired+trans,control,0.001,33.3,15
C6_repaired_trans,repaired+trans,control,0.01,20.0,15
C6_repaired_trans,repaired+trans,control,0.05,20.0,15
C7_coupled_src,coupled+source,all,0.001,65.7,35
C7_coupled_src,coupled+source,all,0.01,51.4,35
C7_coupled_src,coupled+source,all,0.05,42.9,35
C7_coupled_src,coupled+source,targeted,0.001,90.0,20
C7_coupled_src,coupled+source,targeted,0.01,75.0,20
C7_coupled_src,coupled+source,targeted,0.05,60.0,20
C7_coupled_src,coupled+source,control,0.001,33.3,15
C7_coupled_src,coupled+source,control,0.01,20.0,15
C7_coupled_src,coupled+source,control,0.05,20.0,15
