dataset,fold,n_test,threshold_from_train,precision,recall,f1,detector
D1,1,10100,0.8891,0.6159,0.5912,0.6033,hybrid_xgb
D1,2,10100,0.8717,0.619,0.5992,0.609,hybrid_xgb
D1,3,10100,0.8891,0.6156,0.57,0.5919,hybrid_xgb
D1,4,10100,0.8823,0.6053,0.592,0.5986,hybrid_xgb
D1,5,10100,0.8891,0.6111,0.572,0.5909,hybrid_xgb
D2,1,40400,0.8498,0.6055,0.5425,0.5723,hybrid_xgb
D2,2,40400,0.8568,0.6088,0.5385,0.5715,hybrid_xgb
D2,3,40400,0.8534,0.6143,0.5335,0.571,hybrid_xgb
D2,4,40400,0.8494,0.5986,0.5295,0.562,hybrid_xgb
D2,5,40400,0.8568,0.6144,0.541,0.5754,hybrid_xgb
D3,1,6000,0.8718,0.6894,0.91,0.7845,hybrid_xgb
D3,2,6000,0.908,0.6982,0.7867,0.7398,hybrid_xgb
D3,3,6000,0.9163,0.7245,0.78,0.7512,hybrid_xgb
D3,4,6000,0.886,0.6412,0.84,0.7273,hybrid_xgb
D3,5,6000,0.8869,0.6481,0.89,0.75,hybrid_xgb
