src_dialect,tgt_dialect,n_pairs,committed_fp_rate,recomputed_fp_rate,relaxed_equiv_rate,exec_equiv_rate,n_flip_to_equiv,n_flip_from_equiv,n_fp_false_total
mysql,mysql,20,1.0,1.0,1.0,,0,0,0
mysql,oracle,20,0.85,0.85,0.8,,0,1,3
mysql,postgres,20,0.75,0.75,0.75,,0,0,5
mysql,snowflake,20,0.8,0.8,0.8,,0,0,4
mysql,tsql,20,0.8,0.8,0.8,,0,0,4
oracle,mysql,13,0.4615,0.4615,0.4615,,0,0,7
oracle,oracle,13,1.0,1.0,1.0,,0,0,0
oracle,postgres,13,0.7692,0.7692,0.7692,,0,0,3
oracle,snowflake,13,1.0,1.0,1.0,,0,0,0
oracle,tsql,13,0.5385,0.5385,0.5385,,0,0,6
postgres,mysql,54,0.6852,0.6852,0.6852,1.0,0,0,17
postgres,oracle,54,0.9074,0.9074,0.8704,1.0,0,2,5
postgres,postgres,54,1.0,1.0,1.0,1.0,0,0,0
postgres,snowflake,54,0.8889,0.8889,0.8889,1.0,0,0,6
postgres,tsql,54,0.7222,0.7222,0.7222,1.0,0,0,15
snowflake,mysql,14,0.6429,0.6429,0.4286,,0,3,5
snowflake,oracle,14,0.7857,0.7857,0.5714,,0,3,3
snowflake,postgres,14,0.5714,0.5714,0.5,,0,1,6
snowflake,snowflake,14,1.0,1.0,1.0,,0,0,0
snowflake,tsql,14,0.6429,0.6429,0.4286,,0,3,5
tsql,mysql,13,0.6154,0.6154,0.6154,,0,0,5
tsql,oracle,13,0.6923,0.6923,0.6154,,0,1,4
tsql,postgres,13,0.6923,0.6923,0.6923,,0,0,4
tsql,snowflake,13,0.8462,0.8462,0.8462,,0,0,2
tsql,tsql,13,0.9231,1.0,1.0,,1,0,1
